epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,965.542,1.22201,3.65941,2.34492,0.88294,0.8757,0.93916,0.71546,0.80436,2.20825,1.971,0.000656566,0.000656566,0.000656566
2,1871.13,1.0987,1.32705,2.11813,0.88721,0.81273,0.9032,0.62922,1.02759,1.33198,2.28718,0.00131013,0.00131013,0.00131013
3,2774.85,1.13616,1.02719,2.10161,0.81786,0.75655,0.86176,0.5676,1.06824,1.52044,2.45771,0.0019505,0.0019505,0.0019505
4,3679.36,1.14077,0.96475,2.15159,0.88759,0.84644,0.93881,0.69624,0.95465,0.918,2.01066,0.0019406,0.0019406,0.0019406
5,4578.89,1.13117,0.91685,2.13197,0.84826,0.87937,0.94073,0.74053,0.83796,0.76797,2.0155,0.0019208,0.0019208,0.0019208
6,5479.49,1.06039,0.86361,2.0297,0.89693,0.88004,0.9545,0.76585,0.80161,0.81593,1.94813,0.001901,0.001901,0.001901
7,6379.77,1.00584,0.82153,1.99598,0.91239,0.93258,0.97044,0.75881,0.81121,0.65049,1.89975,0.0018812,0.0018812,0.0018812
8,7281.8,1.02934,0.8091,2.03587,0.90205,0.89674,0.96568,0.77301,0.7918,0.66866,1.93363,0.0018614,0.0018614,0.0018614
9,8183.27,0.95122,0.76952,1.94026,0.91278,0.94072,0.9788,0.78992,0.76085,0.61737,1.82977,0.0018416,0.0018416,0.0018416
10,9086.45,0.96705,0.77091,1.95003,0.95786,0.93645,0.97337,0.78285,0.75158,0.57432,1.94792,0.0018218,0.0018218,0.0018218
11,9992.76,0.88099,0.73236,1.84579,0.94253,0.92142,0.97941,0.80425,0.70009,0.64701,1.7055,0.001802,0.001802,0.001802
12,10894,0.90958,0.72007,1.92642,0.90932,0.93892,0.97156,0.80764,0.6916,0.58352,1.82418,0.0017822,0.0017822,0.0017822
