epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.843,0.54962,0.91817,1.69567,0.96976,0.90277,0.32722,0.35563,0.29217,0.9102,0.32742,0.3558,0.28917,0.7745,1.74969,2.33748,1.22854,0.000656716,0.000656716,0.000656716
2,799.635,0.70801,0.87147,1.17367,1.03809,0.63371,0.23881,0.23018,0.16369,0.60107,0.22467,0.21289,0.14685,0.93722,3.12103,2.02265,1.31343,0.00131028,0.00131028,0.00131028
3,1185.85,0.7424,0.97068,1.02144,1.06273,0.45617,0.13803,0.10503,0.0742,0.4753,0.13435,0.10253,0.05735,0.84515,3.41737,1.63976,1.21837,0.00195065,0.00195065,0.00195065
4,1647.4,0.73887,0.89745,0.86736,1.04363,0.46805,0.13656,0.1208,0.09078,0.53213,0.13363,0.11826,0.09275,0.86404,1.98266,1.52002,1.19851,0.0019406,0.0019406,0.0019406
5,2116.09,0.68793,0.88434,0.7731,1.02464,0.81754,0.17768,0.18748,0.14936,0.81754,0.17768,0.18323,0.15028,1.10048,2.33499,1.48337,1.44125,0.0019208,0.0019208,0.0019208
6,2571.62,0.68142,0.87319,0.7333,1.01756,0.85447,0.12775,0.12721,0.10979,0.85447,0.12775,0.12679,0.11393,0.59438,0.78904,0.77437,1.05287,0.001901,0.001901,0.001901
7,3064.34,0.65722,0.83573,0.68414,1.01279,0.75761,0.09545,0.09855,0.08628,0.7438,0.09398,0.09855,0.09264,0.58689,0.76662,0.66606,1.0185,0.0018812,0.0018812,0.0018812
8,3549.26,0.61713,0.74293,0.62692,0.98461,0.97934,0.12922,0.13246,0.12078,0.97934,0.12922,0.13246,0.12718,0.50625,0.69134,0.51565,0.94278,0.0018614,0.0018614,0.0018614
9,4072.43,0.58977,0.71038,0.5795,0.97584,0.86213,0.19824,0.20966,0.18472,0.87008,0.20117,0.21084,0.19373,0.51837,0.68269,0.64334,0.95297,0.0018416,0.0018416,0.0018416
10,4645.04,0.57751,0.68932,0.5595,0.97539,0.85344,0.279,0.29382,0.25441,0.85793,0.28047,0.29599,0.26197,0.5717,0.96193,0.57993,1.02788,0.0018218,0.0018218,0.0018218
11,5208.49,0.55997,0.71892,0.56381,0.96813,0.85346,0.37631,0.38603,0.33909,0.85679,0.37778,0.38851,0.35252,0.49708,0.58649,0.67444,0.96461,0.001802,0.001802,0.001802
12,5708.81,0.56157,0.68205,0.55694,0.96711,0.93899,0.38418,0.4015,0.3645,0.94974,0.3885,0.40416,0.37249,0.43606,0.6342,0.46211,0.89957,0.0017822,0.0017822,0.0017822
13,428.468,0.52366,0.6567,0.55563,0.96782,0.88411,0.38032,0.39413,0.35695,0.89148,0.38326,0.39687,0.37082,0.44403,0.52755,0.54498,0.93708,0.0017624,0.0017624,0.0017624
14,854.896,0.53698,0.63679,0.52195,0.98433,0.91175,0.3862,0.39974,0.36696,0.91868,0.38913,0.40291,0.37834,0.41565,0.4921,0.4831,0.90883,0.0017426,0.0017426,0.0017426
15,1277.87,0.50008,0.61138,0.49209,0.97046,0.93624,0.37592,0.40244,0.36021,0.9399,0.37739,0.4044,0.3741,0.45772,0.50686,0.41387,0.93566,0.0017228,0.0017228,0.0017228
16,1665.92,0.51634,0.63579,0.48046,0.96833,0.93223,0.3862,0.41331,0.3824,0.93932,0.38913,0.41404,0.39459,0.40806,0.42107,0.39486,0.90168,0.001703,0.001703,0.001703
17,2053.18,0.4884,0.59831,0.45749,0.94158,0.89114,0.38468,0.40365,0.37314,0.89455,0.38615,0.40445,0.38111,0.40041,0.46962,0.44702,0.89317,0.0016832,0.0016832,0.0016832
18,2450.43,0.49762,0.59645,0.45952,0.94302,0.95354,0.38326,0.4162,0.38706,0.95354,0.38326,0.41587,0.38964,0.39295,0.5033,0.3811,0.90657,0.0016634,0.0016634,0.0016634
19,2857.95,0.4881,0.59534,0.43777,0.95969,0.93088,0.3862,0.42397,0.39358,0.92933,0.3862,0.42423,0.40174,0.39754,0.45696,0.35918,0.89771,0.0016436,0.0016436,0.0016436
20,3252.18,0.4782,0.54217,0.42929,0.93476,0.94037,0.39207,0.41168,0.38608,0.94037,0.39207,0.4113,0.3955,0.38009,0.43904,0.38069,0.88234,0.0016238,0.0016238,0.0016238
21,3641.3,0.433,0.51979,0.39639,0.91437,0.95505,0.39354,0.4262,0.40291,0.95505,0.39354,0.4262,0.4118,0.35093,0.35557,0.31446,0.8541,0.001604,0.001604,0.001604
22,4042.4,0.43587,0.53019,0.39363,0.91887,0.96603,0.38913,0.41487,0.38886,0.97024,0.3906,0.41574,0.39723,0.34226,0.36602,0.34902,0.86144,0.0015842,0.0015842,0.0015842
23,4444.14,0.4508,0.53252,0.42058,0.91911,0.87213,0.38473,0.41283,0.37927,0.86816,0.38326,0.41291,0.38799,0.38345,0.514,0.44072,0.89403,0.0015644,0.0015644,0.0015644
24,4836.83,0.45499,0.51584,0.41258,0.92578,0.96513,0.38179,0.42489,0.39346,0.97256,0.38473,0.42653,0.40183,0.39254,0.45966,0.32916,0.91627,0.0015446,0.0015446,0.0015446
25,5224.83,0.44811,0.52155,0.40667,0.93014,0.97444,0.39189,0.42103,0.3979,0.97444,0.39189,0.42103,0.40608,0.34438,0.34443,0.30803,0.85768,0.0015248,0.0015248,0.0015248
26,5619.52,0.44964,0.55653,0.40705,0.92964,0.96399,0.39305,0.42106,0.39943,0.96759,0.39452,0.42117,0.4047,0.3289,0.38812,0.29359,0.85726,0.001505,0.001505,0.001505
27,6009.86,0.44266,0.57129,0.41094,0.92859,0.96128,0.35095,0.38433,0.36329,0.97945,0.35095,0.38316,0.36935,0.60992,1.25347,0.78813,1.84764,0.0014852,0.0014852,0.0014852
28,6407.56,0.4224,0.52219,0.37767,0.91601,0.95666,0.35658,0.39339,0.37198,0.95666,0.35658,0.39175,0.37342,0.4742,1.15864,0.59236,1.38281,0.0014654,0.0014654,0.0014654
29,6797.66,0.43304,0.51172,0.38092,0.91434,0.95165,0.34949,0.38262,0.3621,0.97142,0.34942,0.38189,0.36777,0.6329,1.25993,0.73483,1.81606,0.0014456,0.0014456,0.0014456
30,7220.33,0.43495,0.53988,0.40322,0.92718,0.95823,0.39207,0.40936,0.39059,0.95823,0.39207,0.40936,0.39368,0.32097,0.36568,0.33942,0.85133,0.0014258,0.0014258,0.0014258
31,7620.27,0.41696,0.49696,0.37789,0.90871,0.93267,0.34583,0.37212,0.35226,0.93267,0.34583,0.37072,0.35308,0.67445,1.10732,0.87531,2.31686,0.001406,0.001406,0.001406
